Plot ID,Sowing date,Harvest date,Width,Length,Row,Column,Replicate,Rack,Accession,Ant_date_ymd 2019-08-27,BM_Calc_tha 2019-08-27,BM_M_gPlot 2019-08-27,GFP_calc_day 2019-08-27,GMoi_E_pct 2019-08-27,GYPR_Calc_gm2day 2019-08-27,GY_Calc_tha 2019-08-27,GY_M_gPlot 2019-08-27,HI_Calc_pct 2019-08-27,Mat_date_ymd 2019-08-27,PH_M_cm 2019-08-27,SN_Calc_Spksm2 2019-08-27,SpkGW_M_g 2019-08-27,StrawYld_E_tha 2019-08-27
1,2018-10-08,2019-08-27,1.5,4.0,1,1,1,1,PW292-69-4-14-Q6B-DTAD-W,2019-06-06T00:00:00,,75.8,54.0,10.6132075471698,16.1127143463107,8.70086574700777,,,2019-07-30T00:00:00,100.25,,,
2,2018-10-08,2019-08-27,1.5,4.0,1,2,1,1,PW352-23-4-18-Q1A-NDVI-P,2019-06-06T00:00:00,16.0334102394724,75.5,54.0,10.7565011820331,13.640671790713,7.36596276698503,193.9,45.9413353551628,2019-07-30T00:00:00,103.75,379.884619235948,1.939,8.66744747248739
3,2018-10-08,2019-08-27,1.5,4.0,1,3,1,1,PW468-10-1-21-Q2A-NDVI-P,2019-06-06T00:00:00,17.1595971436689,75.9,49.0,10.4952830188679,16.2654462991808,7.97006868659859,203.0,46.4467121219055,2019-07-25T00:00:00,115.75,392.614221014709,2.03,9.18952845707028
4,2018-10-08,2019-08-27,1.5,4.0,1,4,1,1,PW468-77-3-10-Q7B-AGDM-W,2019-06-07T00:00:00,19.0242860818104,75.4,53.0,10.6635071090047,15.3281079212007,8.12389719823636,204.7,42.7027703604806,2019-07-30T00:00:00,132.0,396.868451306124,2.047,10.900388883574
5,2018-10-08,2019-08-27,1.5,4.0,1,5,1,1,PW034-12-13-10-Q1A-HT-P,2019-06-05T00:00:00,,75.7,55.0,9.98810939357906,14.9554071851223,8.22547395181728,,,2019-07-30T00:00:00,109.0,,,
6,2018-10-08,2019-08-27,1.5,4.0,1,6,1,1,Paragon,2019-06-06T00:00:00,,75.5,49.0,9.688995215311,16.852138564746,8.25754789672556,,,2019-07-25T00:00:00,105.25,,,
7,2018-10-08,2019-08-27,1.5,4.0,1,7,1,1,DHF1-1UT,2019-06-17T00:00:00,,76.3,43.0,10.1295641931684,13.1723500687066,5.66411052954384,,,2019-07-30T00:00:00,89.5,,,
8,2018-10-08,2019-08-27,1.5,4.0,1,8,1,1,PW034-66-6-3-Q7A-LODG-W,2019-06-05T00:00:00,,76.2,50.0,9.82248520710059,17.3994708856057,8.69973544280283,,,2019-07-25T00:00:00,106.75,,,
9,2018-10-08,2019-08-27,1.5,4.0,1,9,1,1,PW141-31-2-12-Q3B-MATU-W,2019-06-07T00:00:00,,75.7,53.0,10.0950118764846,14.2770723137172,7.56684832627009,,,2019-07-30T00:00:00,105.0,,,
10,2018-10-08,2019-08-27,1.5,4.0,1,10,1,1,PW468-21-2-12-Q2D-DTAD-W,2019-06-06T00:00:00,,76.3,49.0,9.81087470449172,13.4335675861786,6.58244811722753,,,2019-07-25T00:00:00,111.75,,,
11,2018-10-08,2019-08-27,1.5,4.0,1,11,1,1,PW352-26-4-10-Q2A-GFR-P,2019-06-09T00:00:00,18.1198144548369,71.1,46.0,15.7582938388626,17.6075041410866,8.09945190489983,201.8,44.6994196606565,2019-07-25T00:00:00,128.5,401.360352076305,2.018,10.020362549937
12,2018-10-08,2019-08-27,1.5,4.0,1,12,1,1,PW352-26-5-11-Q2A-DTMA-P,2019-06-07T00:00:00,,69.0,53.0,16.5659008464329,15.0838368188974,7.99443351401564,,,2019-07-30T00:00:00,108.25,,,
13,2018-10-08,2019-08-27,1.5,4.0,1,13,1,1,PW141-36-10-22-Q7A-DTMA-P,2019-06-03T00:00:00,,69.5,57.0,16.1640530759952,14.432553113532,8.22655527471322,,,2019-07-30T00:00:00,104.25,,,
14,2018-10-08,2019-08-27,1.5,4.0,1,14,1,1,Paragon (WT) (- -),2019-06-07T00:00:00,16.9225887754283,68.8,48.0,15.5828220858896,16.4243746573151,7.88369983551125,203.1,46.5868428296174,2019-07-25T00:00:00,103.0,388.168381856783,2.031,9.03888893991704
15,2018-10-08,2019-08-27,1.5,4.0,1,15,1,1,PW729-55-5-12-Q4A-MATU-W,2019-06-07T00:00:00,,74.1,53.0,15.4109589041096,14.6371174584579,7.75767225298269,,,2019-07-30T00:00:00,110.25,,,
46,2018-10-08,2019-08-27,1.5,4.0,2,1,1,1,PW729-55-3-8-Q6B-AGDM-P,2019-06-06T00:00:00,18.487913902223,75.8,54.0,10.7184923439341,16.0134624644319,8.6472697307932,202.6,46.7725551759165,2019-07-30T00:00:00,103.75,426.81489293155,2.026,9.84064417142981
