Plot ID,Sowing date,Harvest date,Width,Length,Row,Column,Replicate,Rack,Accession,PECO:0007167,PECO:0007102,AvailN_CalcNutAvail_kgha,BioYld100_CalcGbSamp_tha,BmsNOff_CalcCombYld_kgha,BmsNUpE_CalcFh_kgNOff/kg_Navail,BmsNUtE_CalcFh_kg_biomass/kg_Noff,FertN_FertApl_kgha,FrWtGrnPl_Fh_kg,GrnAlCnc_Icp_ppm,GrnAlOff_CalcIcpYld_kgha,GrnAsCnc_Icp_ppm,GrnAsOff_CalcIcpYld_kgha,GrnCaCnc_Icp_ppm,GrnCaOff_CalcIcpYld_kgha,GrnCdCnc_Icp_ppm,GrnCdOff_CalcIcpYld_kgha,GrnCoCnc_Icp_ppm,GrnCoOff_CalcIcpYld_kgha,GrnCrCnc_Icp_ppm,GrnCrOff_CalcIcpYld_kgha,GrnCuCnc_Icp_ppm,GrnCuOff_CalcIcpYld_kgha,GrnFeCnc_Icp_ppm,GrnFeOff_CalcIcpYld_kgha,GrnKCnc_Icp_ppm,GrnKOff_CalcIcpYld_kgha,GrnMc_CalcFh_%,GrnMgCnc_Icp_ppm,GrnMgOff_CalcIcpYld_kgha,GrnMnCnc_Icp_ppm,GrnMnOff_CalcIcpYld_kgha,GrnMoCnc_Icp_ppm,GrnMoOff_CalcIcpYld_kgha,GrnNCnc_Com_%,GrnNOff_CalcCombYld_kgha,GrnNUE_CalcFh_kg_grain/kg_Navail,GrnNUpE_CalcFh_kgNOff/kg_Navail,GrnNUtE_CalcFh_kg_grain/kg_Noff,GrnNaCnc_Icp_ppm,GrnNaOff_CalcIcpYld_kgha,GrnNiCnc_Icp_ppm,GrnNiOff_CalcIcpYld_kgha,GrnPCnc_Icp_ppm,GrnPOff_CalcIcpYld_kgha,GrnPbCnc_Icp_ppm,GrnPbOff_CalcIcpYld_kgha,GrnSCnc_Icp_ppm,GrnSOff_CalcIcpYld_kgha,GrnSeCnc_Icp_ppm,GrnSeOff_CalcIcpYld_kgha,GrnSsDrWt_Fh_g,GrnSsFrWt_Fh_g,GrnTiCnc_Icp_ppm,GrnTiOff_CalcIcpYld_kgha,GrnWt_GbSamp_g,GrnYld100_Fh_tha,GrnYld85_Fh_tha,GrnZnCnc_Icp_ppm,GrnZnOff_CalcIcpYld_kgha,HI_CalcGbSamp_%,HarPlL_Fh_m,HarPlW_Fh_m,LodAr_Vis_% 2021-08-11,LodSev_Vis_0to10 2021-08-11,NHi_CalcCombYld_%,NoGr_TgwMeas_No sample_1,NoGr_TgwMeas_No sample_2,SlMinN_SoilSam_kgha,SpkPop_CalcGbSamp_m2,StmNoS_GbSamp_No,StrwChfWt_GbSamp_g,StrwNCnc_Com_%,StrwNOff_CalcCombYld_kgha,StrwYld100_CalcGbSamp_tha,StrwYld85_CalcGbSamp_tha,TGW_CalcTGW_g,WtGrSp_CalcGbSamp_g,WtGr_TgwMeas_g sample_1,WtGr_TgwMeas_g sample_2
1,2020-09-28,2021-08-14,1.8,9.0,6,3,1,1,Maris Widgeon,SFP,N350,422.16,10.46249986,209.0565605,0.495206937,50.04626421,350.0,10.003,16.229,0.107427992,,,419.963,2.779948363,0.0415,0.00027471,0.0235,0.000155558,0.096,0.000635473,4.2515,0.028142837,39.2045,0.259514494,4196.452,27.77844683,14.40107672,975.177,6.455191778,37.938,0.251130888,0.013,8.6536,2.71,179.3886619,15.68009243,0.424930505,31.66371725,16.725,0.110711268,0.1175,0.000777792,3534.544,23.39694165,0.078,0.000516322,1652.4385,10.93832957,,,63.6,74.3,0.048,0.000317736,216.0,6.61950782,7.787656259,32.1675,0.212933018,63.26889279,7.3675,1.8,20.0,8.0,85.80867375,513.0,523.0,72.16,306.4586954,100.0,125.4,0.772,29.66789855,3.84299204,4.521167106,37.25868726,2.16,18.8,19.8
2,2020-09-28,2021-08-14,1.8,9.0,6,4,1,1,Siskin,SFP,N350,422.16,20.19160247,322.1767966,0.763162774,62.67242917,350.0,15.595,13.698,0.139616079,,,355.4165,3.622562275,0.072,0.000733856,0.0125,0.000127406,0.068,0.000693086,3.885,0.039597639,27.96,0.284980695,4924.1405,50.18901939,14.34108527,968.631,9.872715867,35.65,0.363360579,0.061,0.000621739,2.33,237.4839125,24.14355363,0.562544799,31.63617835,14.1915,0.144646049,0.1085,0.00110588,2962.1465,30.19150817,,,1448.3485,14.76220895,,,66.3,77.4,0.035,0.000356735,158.2,10.1924426,11.99110894,24.07,0.245332093,50.47862157,7.3675,1.8,,,73.71229555,513.0,520.0,72.16,644.2757648,100.0,155.2,0.847,84.69288409,9.999159869,11.76371749,36.88286544,1.582,19.1,19.0
3,2020-09-28,2021-08-14,1.8,9.0,6,5,1,1,Istabraq,SFP,N350,422.16,18.20576784,285.1492562,0.675453042,63.84645039,350.0,13.702,12.3605,0.110958879,,,367.0485,3.294954908,0.0495,0.000444356,0.0145,0.000130165,0.0515,0.00046231,3.4545,0.031010675,27.623,0.2479687,4505.5375,40.44572556,14.15701416,928.9715,8.339277243,36.938,0.331588453,0.0335,0.000300726,2.17,194.7985661,21.26419473,0.461433026,31.48138125,13.5545,0.121677289,0.0515,0.00046231,2705.5175,24.28713961,0.0405,0.000363564,1302.8405,11.69545905,0.055,0.000493729,66.7,77.7,0.0325,0.000291749,142.5,8.976892448,10.56104994,25.089,0.225221255,49.30795848,7.3675,1.8,,,68.31459731,521.0,520.0,72.16,629.9573648,100.0,146.5,0.979,90.35069011,9.228875394,10.85750046,30.83573487,1.425,16.1,16.0
4,2020-09-28,2021-08-14,1.8,9.0,6,6,1,1,Avalon,SFP,N350,422.16,14.89468887,260.6169541,0.617341657,57.1516497,350.0,12.147,9.815,0.078285912,,,397.966,3.174236493,0.0485,0.000386843,0.018,0.000143571,0.074,0.000590235,3.9135,0.031214663,34.262,0.27327885,4440.194,35.41565318,14.55938697,900.3255,7.181131197,35.9515,0.286754555,0.022,0.000175475,2.42,193.0228289,18.8936658,0.457226712,30.6048775,13.7535,0.109699978,0.0685,0.000546366,3177.012,25.34032412,0.049,0.000390831,1515.1205,12.08482831,0.0175,0.000139583,66.9,78.3,0.03,0.000239284,199.1,7.976149956,9.383705831,28.437,0.226817776,53.55029586,7.3675,1.8,,,74.06380356,521.0,505.0,72.16,400.6102439,100.0,172.7,0.977,67.59412517,6.918538912,8.139457544,32.74853801,1.991,17.3,16.3
5,2020-09-28,2021-08-14,1.8,9.0,6,7,1,1,Paragon,SFP,N350,422.16,13.81467433,263.3930832,0.623917669,52.44888803,350.0,11.74,15.6385,0.120779157,,,436.9495,3.374645406,0.029,0.000223973,0.015,0.000115848,0.0795,0.000613994,4.7905,0.036997957,37.1605,0.286997721,4827.695,37.28522118,14.55696203,993.777,7.675131766,42.456,0.32789589,0.006,4.63392,2.74,211.6154936,18.29446939,0.501268461,29.32192866,16.1615,0.124818387,0.0565,0.00043636,3600.6115,27.80821824,0.052,0.000401606,1597.021,12.33410172,0.0635,0.000490423,67.5,79.0,0.035,0.000270312,211.1,7.723193197,9.086109644,30.8125,0.23797089,55.90572034,7.3675,1.8,,,80.34208454,521.0,516.0,72.16,365.8547227,100.0,166.5,0.85,51.77758964,6.091481134,7.166448392,29.70106075,2.111,15.0,15.8
6,2020-09-28,2021-08-14,1.8,9.0,6,8,1,1,Xi19,SFP,N350,422.16,15.38951317,267.4248283,0.633467946,57.54706201,350.0,12.32,12.953,0.106067007,,,378.65,3.100615463,0.0405,0.000331639,0.001,8.18861,0.051,0.000417619,3.8935,0.031882335,32.7045,0.267804248,4954.0775,40.56698613,13.43085106,1051.252,8.608287881,38.941,0.318872486,0.058,0.000474939,2.55,208.8094396,19.39692409,0.494621564,30.62021401,15.1995,0.124462709,0.0475,0.000388959,3083.376,25.24854959,0.057,0.000466751,1597.4825,13.08115394,0.046,0.000376676,65.1,75.2,0.0215,0.000176055,194.0,8.188605474,9.633653498,26.8845,0.220146564,53.20899616,7.3675,1.8,,,78.08154573,526.0,500.0,72.16,422.0930657,100.0,170.6,0.814,58.61538868,7.2009077,8.471656118,29.72709552,1.94,16.2,14.3
7,2020-09-28,2021-08-14,1.8,9.0,6,9,1,1,Malacca,SFP,N350,422.16,15.98252199,277.6029475,0.657577571,57.57331519,350.0,12.772,11.0215,0.093020487,,,373.7425,3.154353703,0.0465,0.000392456,0.015,0.000126599,0.0455,0.000384016,3.672,0.030991356,26.8105,0.226278253,4622.824,39.01622643,13.61815754,1086.3845,9.168989267,34.9085,0.294624658,0.049,0.000413556,2.45,206.777837,19.9922108,0.489809165,30.40281737,13.8795,0.117141755,0.0665,0.000561254,3307.039,27.91111719,0.025,0.000210998,1415.2225,11.94435295,,,64.7,74.9,0.035,0.000295397,159.9,8.439911713,9.929307898,25.516,0.215352787,52.80713342,7.3675,1.8,,,74.48690255,522.0,517.0,72.16,527.8243723,100.0,142.9,0.939,70.82511053,7.54261028,8.873659153,27.81520693,1.599,14.6,14.3
8,2020-09-28,2021-08-14,1.8,9.0,6,10,1,1,Riband,SFP,N350,422.16,12.76043624,227.9220716,0.539894996,55.98596113,350.0,10.338,15.2385,0.104122183,,,458.676,3.134058225,0.0475,0.00032456,0.013,8.88269,0.0545,0.00037239,4.102,0.028028296,32.301,0.22070746,4844.8605,33.10414083,14.09395973,1007.8525,6.886491591,38.5365,0.263313613,0.019,0.000129824,2.43,166.0379328,16.1854196,0.393305696,29.9788287,13.343,0.091170541,0.082,0.000560293,3365.735,22.99751777,,,1462.125,9.990461419,,,64.0,74.5,0.022,0.000150322,180.4,6.83283674,8.038631459,26.6965,0.182412826,53.5470466,7.3675,1.8,,,72.84855374,516.0,510.0,72.16,378.7603514,100.0,156.5,1.044,61.88413878,5.9275995,6.973646471,31.57894737,1.804,16.4,16.0
9,2020-09-28,2021-08-14,1.8,9.0,6,11,1,1,Claire,SFP,N350,422.16,16.21821084,272.9485351,0.646552338,59.41856707,350.0,13.18,9.875,0.085980864,,,359.8145,3.132877125,0.022,0.000191552,0.0185,0.000161078,0.0655,0.000570303,3.4925,0.030408928,31.8475,0.277293728,4993.19,43.47532056,13.76262626,1072.9015,9.341670684,35.243,0.306858085,0.0335,0.000291682,2.38,207.224766,20.62469903,0.490867837,31.8995042,13.573,0.118179065,0.068,0.000592071,3015.6165,26.25674049,0.048,0.000417932,1389.993,12.10256194,,,68.3,79.2,0.027,0.000235087,180.6,8.706922941,10.24343875,25.4175,0.221308214,53.68608799,7.3675,1.8,,,75.92081999,525.0,505.0,72.16,482.1109048,100.0,155.8,0.875,65.7237691,7.511287897,8.836809291,27.2815534,1.806,15.2,12.9
10,2020-09-28,2021-08-14,1.8,9.0,6,12,1,1,Soissons,SFP,N350,422.16,16.4906463,269.1236058,0.63749196,61.27536174,350.0,13.319,12.852,0.112392291,,,467.4375,4.087797355,0.069,0.000603413,0.011,9.61963,0.0505,0.000441629,3.9745,0.034757482,31.702,0.277237816,4069.577,35.58894204,14.15465269,1141.146,9.9794595,45.4645,0.39759254,,,2.36,206.3848484,20.71518072,0.488878265,32.49481096,13.508,0.11812909,0.0835,0.000730218,3013.118,26.35008058,0.0485,0.000424138,1484.4335,12.98155012,0.034,0.000297334,65.5,76.3,0.0255,0.000223001,163.6,8.745120694,10.28837729,28.3365,0.247806113,53.03079417,7.3675,1.8,,,76.68775387,526.0,513.0,72.16,534.5428297,100.0,144.9,0.81,62.73875738,7.745525603,9.112383062,32.43503369,1.636,17.3,16.4
