Plot ID,Sowing date,Harvest date,Width,Length,Row,Column,Replicate,Rack,Accession,AlDe_CalcIcpYldRe_ppm,AlWtGr_CalcIcpTgw_uggrain,AsDe_CalcIcpYldRe_ppm,AsWtGr_CalcIcpTgw_uggrain,AwnPreAb_Vis_0to1 2019-08-07,CaDe_CalcIcpYldRe_ppm,CaWtGr_CalcIcpTgw_uggrain,CdDe_CalcIcpYldRe_ppm,CdWtGr_CalcIcpTgw_uggrain,CoDe_CalcIcpYldRe_ppm,CoWtGr_CalcIcpTgw_uggrain,CrDe_CalcIcpYldRe_ppm,CrWtGr_CalcIcpTgw_uggrain,CuDe_CalcIcpYldRe_ppm,CuWtGr_CalcIcpTgw_uggrain,FeDe_CalcIcpYldRe_ppm,FeWtGr_CalcIcpTgw_uggrain,FrWtGrnPl_Fh_kg,GrnAlCnc_Icp_ppm,GrnAlOff_CalcIcpYld_kgha,GrnAsCnc_Icp_ppm,GrnAsOff_CalcIcpYld_kgha,GrnCaCnc_Icp_ppm,GrnCaOff_CalcIcpYld_kgha,GrnCdCnc_Icp_ppm,GrnCdOff_CalcIcpYld_kgha,GrnCoCnc_Icp_ppm,GrnCoOff_CalcIcpYld_kgha,GrnCrCnc_Icp_ppm,GrnCrOff_CalcIcpYld_kgha,GrnCuCnc_Icp_ppm,GrnCuOff_CalcIcpYld_kgha,GrnFeCnc_Icp_ppm corrected,GrnFeOff_CalcIcpYld_kgha,GrnKCnc_Icp_ppm,GrnKOff_CalcIcpYld_kgha,GrnMc_CalcFh_%,GrnMgCnc_Icp_ppm,GrnMgOff_CalcIcpYld_kgha,GrnMnCnc_Icp_ppm,GrnMnOff_CalcIcpYld_kgha,GrnMoCnc_Icp_ppm,GrnMoOff_CalcIcpYld_kgha,GrnNaCnc_Icp_ppm,GrnNaOff_CalcIcpYld_kgha,GrnNiCnc_Icp_ppm,GrnNiOff_CalcIcpYld_kgha,GrnPCnc_Icp_ppm,GrnPOff_CalcIcpYld_kgha,GrnPbCnc_Icp_ppm,GrnPbOff_CalcIcpYld_kgha,GrnSCnc_Icp_ppm,GrnSOff_CalcIcpYld_kgha,GrnSeCnc_Icp_ppm,GrnSeOff_CalcIcpYld_kgha,GrnSsDrWt_Fh_g,GrnSsFrWt_Fh_g,GrnTiCnc_Icp_ppm,GrnTiOff_CalcIcpYld_kgha,GrnYld100_Fh_tha,GrnYld85_Fh_tha,GrnZnCnc_Icp_ppm,GrnZnOff_CalcIcpYld_kgha,HarPlL_Fh_m,HarPlW_Fh_m,KDe_CalcIcpYldRe_ppm,KWtGr_CalcIcpTgw_uggrain,LodAr_Vis_% 2019-08-05 2019-08-07,LodSev_Vis_0to10 2019-08-05 2019-08-07,MgDe_CalcIcpYldRe_ppm,MgWtGr_CalcIcpTgw_uggrain,MnDe_CalcIcpYldRe_ppm,MnWtGr_CalcIcpTgw_uggrain,MoDe_CalcIcpYldRe_ppm,MoWtGr_CalcIcpTgw_uggrain,NaDe_CalcIcpYldRe_ppm,NaWtGr_CalcIcpTgw_uggrain,NiDe_CalcIcpYldRe_ppm,NiWtGr_CalcIcpTgw_uggrain,NoGr_TgwMeas_No,NoGr_TgwMeas_No sample_1,NoGr_TgwMeas_No sample_2,PDe_CalcIcpYldRe_ppm,PWtGr_CalcIcpTgw_uggrain,PbDe_CalcIcpYldRe_ppm,PbWtGr_CalcIcpTgw_uggrain,SDe_CalcIcpYldRe_ppm,SWtGr_CalcIcpTgw_uggrain,SeDe_CalcIcpYldRe_ppm,SeWtGr_CalcIcpTgw_uggrain,TGW_CalcTGW_g,TGrUa_CalcFh_m2,TiDe_CalcIcpYldRe_ppm,TiWtGr_CalcIcpTgw_uggrain,WtGr_TgwMeas_g,WtGr_TgwMeas_g sample_1,WtGr_TgwMeas_g sample_2,ZnDe_CalcIcpYldRe_ppm,ZnWtGr_CalcIcpTgw_uggrain
1,2018-10-26,2019-08-08,1.8,4.483,20,2,3,2,ParW396_0006,-0.168035508,0.341568236,-0.046022463,0.0002667,,-24.9069818,15.03206943,,,,,-0.05523621,0.006711943,0.998478609,0.155011794,-11.14223458,1.415390139,5.468,11.5265,0.068009421,0.009,5.3124,507.2695,2.993025191,,,,,0.2265,0.00133641,5.231,0.030864294,47.7635,0.281817375,4729.3305,27.90430988,12.92682927,971.9325,5.734660681,30.5755,0.180403596,0.241,0.001421964,19.2465,0.113559477,0.171,0.001008946,3854.8695,22.74475702,0.0485,0.000286163,1585.514,9.354954994,0.004,2.3611,71.4,82.0,0.879,0.005186334,5.900266408,6.941489892,25.329,0.149447848,4.483,1.8,413.2318881,140.1456709,90.0,9.0,-214.3984128,28.80156764,-10.88764602,0.906052973,-0.057118637,0.007141625,4.765190826,0.570337314,0.01180051,0.005067294,,500.0,509.0,-257.6447163,114.2325055,0.005098308,0.001437215,-116.0128237,46.98401249,-0.062177845,0.000118533,29.6333003,19.91093246,-0.219971488,0.026047671,,15.0,14.9,-0.26542402,0.750581863
2,2018-10-26,2019-08-08,1.8,4.483,20,3,3,3,ParW451_0062,-1.652168499,0.24419227,,,1.0,-11.39799901,21.17419722,,,,,-0.074276946,0.005454906,0.481566988,0.191688801,-7.038307845,1.740562438,7.14,5.73,0.044430692,,,496.855,3.852637295,,,,,0.128,0.000992518,4.498,0.034877706,40.8425,0.316694687,4592.4885,35.6103742,12.36623068,1093.1745,8.476527053,32.135,0.249176318,0.3305,0.002562713,19.3545,0.150075713,0.12,0.000930486,3959.031,30.69851462,0.0065,5.0413,1579.5175,12.2476538,0.3735,0.002896137,73.7,84.1,0.1215,0.000942117,7.75404755,9.122408882,27.7315,0.21503137,4.483,1.8,330.0285079,195.7155654,70.0,9.0,-9.094664969,46.58721853,-7.572603318,1.369479683,0.02389485,0.014084737,5.014040033,0.824820119,-0.013375407,0.005113974,,503.0,506.0,48.21742171,168.7198543,-0.040273836,0.000277007,-24.67551246,67.31343162,0.30449096,0.015917245,42.61645193,18.19496274,-0.677082999,0.005177899,,21.8,21.2,5.182225685,1.181818137
3,2018-10-26,2019-08-08,1.8,4.483,20,4,3,4,ParW685_0058,-10.39007005,0.089515422,-0.06292501,0.000129617,,-55.02365004,9.867225786,-0.021941006,0.000209381,,,-0.215414141,0.002492633,0.092904782,0.089435658,-13.55026334,1.066786935,4.176,4.489,0.020341063,0.0065,2.94535,494.8195,2.242181969,0.0105,4.75788,,,0.125,0.000566414,4.485,0.020322938,53.497,0.242411645,5292.7015,23.98288643,12.44019139,1174.324,5.321229455,25.8035,0.116923732,0.431,0.001952996,17.723,0.080308458,0.1185,0.000536961,4666.968,21.14749216,,,1836.772,8.322988604,0.2355,0.001067124,73.2,83.6,0.1005,0.000455397,4.53131287,5.330956318,34.751,0.157467654,4.483,1.8,936.9926145,105.542083,95.0,9.0,-74.08361885,23.4172664,-16.95605386,0.514549165,0.13914836,0.008594597,3.137678537,0.353415422,-0.059769686,0.002363016,,515.0,503.0,405.5048081,93.06429312,,,63.36750843,36.62718232,0.171412895,0.00469612,19.9410609,22.72352957,-1.220298043,0.002004077,,10.5,9.8,6.907837782,0.692971807
4,2018-10-26,2019-08-08,1.8,4.483,20,5,3,5,ParW685_0030,-2.032749697,0.219025519,,,1.0,98.35492068,16.9651276,,,,,-0.152540099,0.002702671,-0.13140348,0.109717507,-6.491541668,1.31651454,6.062,8.023,0.052989832,,,621.44,4.10444985,,,,,0.099,0.000653869,4.019,0.026544452,48.2245,0.318510302,4566.73,30.16206595,12.08133971,1242.443,8.206013428,20.6235,0.136212863,0.3675,0.002427242,13.9675,0.092251711,0.109,0.000719917,4464.361,29.48594528,,,1758.824,11.61657586,0.2345,0.001548812,73.5,83.6,0.1095,0.000723219,6.604740361,7.770282777,29.913,0.197567598,4.483,1.8,271.0151376,124.6703739,95.0,9.0,88.05723458,33.91832522,-20.17250464,0.56301543,0.066156318,0.010032641,-0.460283655,0.381308605,-0.040385822,0.002975668,,502.0,509.0,428.4970648,121.8757306,,,94.28597353,48.01537329,0.167246244,0.00640178,27.29970326,24.1934511,-0.875317848,0.002989318,,14.0,13.6,5.475793842,0.816616024
5,2018-10-26,2019-08-08,1.8,4.483,20,6,3,6,ParW396_0012,6.290703551,0.498838496,,,1.0,164.7272813,21.02763658,-0.009146273,0.000596313,,,-0.114914479,0.004158899,-0.120202117,0.123192085,-0.226237351,1.663651229,6.017,16.3125,0.107977919,,,687.624,4.55161432,0.0195,0.000129077,,,0.136,0.00090023,4.0285,0.026665995,54.403,0.360111738,4280.5155,28.33417048,11.22807018,1133.3225,7.50184246,24.9115,0.16489759,0.3425,0.002267123,15.982,0.105790228,0.1105,0.000731437,4175.1685,27.63684329,,,1679.8395,11.11942213,0.1715,0.001135216,75.9,85.5,0.233,0.001542305,6.619336032,7.787454155,30.6505,0.202885959,4.483,1.8,-14.77704084,130.8987532,95.0,9.0,-20.40140863,34.65715806,-15.87068245,0.761797099,0.0410895,0.010473697,1.555325315,0.48873176,-0.038682497,0.003379105,,507.0,510.0,140.8926467,127.6772275,,,16.06782737,51.36972316,0.104223953,0.005244494,30.58013766,21.64586735,-0.749452751,0.007125172,,15.8,15.3,6.237269705,0.937296509
6,2018-10-26,2019-08-08,1.8,4.483,20,7,3,7,ParW145_0038,1.323325248,0.263882209,,,,24.28024892,22.38604702,,,,,0.26259344,0.018017009,0.350249845,0.183043304,1.596180341,1.85073998,8.15,6.1075,0.054178787,,,518.1205,4.596175217,,,,,0.417,0.003699149,4.2365,0.037581405,42.835,0.379983354,4022.97,35.68720985,12.1686747,1089.675,9.66635605,37.7225,0.334631074,0.272,0.002412874,15.5435,0.137884236,0.1565,0.00138829,3731.286,33.09972148,,,1563.0,13.86515659,0.132,0.001170954,72.9,83.0,0.7175,0.006364843,8.870861541,10.4363077,22.5165,0.199740754,4.483,1.8,-207.1753031,173.8174721,20.0,3.0,38.04899566,47.08077713,-0.92747326,1.629847996,-0.039717866,0.011752102,1.287894907,0.671576442,0.038682361,0.006761779,,514.0,509.0,-58.01264341,161.2148985,,,17.44592815,67.5313783,0.061285302,0.005703226,43.20625611,20.53142841,0.09988662,0.031000489,,22.3,21.9,1.801781946,0.972853666
7,2018-10-26,2019-08-08,1.8,4.483,20,8,3,8,ParW811_0089,-7.77905847,0.121118595,,,,57.44195262,16.73705381,-0.026739051,9.9019,,,0.169019485,0.012942136,-0.432362434,0.10802087,-20.37500288,1.116460831,5.224,4.2815,0.024588321,,,591.649,3.397794109,0.0035,2.012,,,0.4575,0.002627387,3.8185,0.021929348,39.4665,0.226653035,4228.271,24.28263091,11.29032258,1265.232,7.266128797,31.114,0.178685278,0.398,0.002285683,15.8125,0.090809955,0.1895,0.001088284,3729.2585,21.41684101,,,1469.4395,8.438876559,0.082,0.00047092,71.5,80.6,0.6685,0.003839143,5.742922086,6.756378925,24.479,0.14058099,4.483,1.8,-92.38032421,119.6128097,100.0,6.0,71.76613564,35.79192404,-10.49815211,0.880178437,0.100601677,0.011258952,1.319235896,0.447317013,0.028108626,0.005360732,,504.0,507.0,-400.3755636,105.4963334,,,-240.3487749,41.56871385,0.01606246,0.002319683,28.28882295,20.30102877,-0.455967714,0.018911078,,14.1,14.5,-1.373888736,0.692482097
8,2018-10-26,2019-08-08,1.8,4.483,20,9,3,9,Crusoe,,0.129828543,,,3.0,,14.2346219,,,,,,0.004214764,,0.112744931,,1.151235089,10.373,3.758,0.042720652,,,412.0335,4.683964866,,,,,0.122,0.001386887,3.2635,0.037099215,33.3235,0.378818963,4042.3335,45.95293366,11.56626506,880.273,10.00687518,28.8625,0.328106661,0.3345,0.00380257,11.024,0.125319977,0.121,0.001375519,2919.2705,33.18604059,,,1357.2355,15.42894788,0.108,0.001227736,73.4,83.0,0.523,0.005945423,11.36792243,13.37402639,17.316,0.196846945,4.483,1.8,,139.6514821,100.0,0.0,,30.4110062,,0.997119833,,0.011556053,,0.380848819,,0.004180217,,509.0,507.0,,100.8527505,,,,46.88874611,,0.003731102,34.54724409,32.90543928,,0.018068209,,17.7,17.4,,0.598220079
9,2018-10-26,2019-08-08,1.8,4.483,20,10,3,10,ParW145_0018,-6.397475085,0.163030645,-0.016845025,0.001241935,,-94.27642574,15.40008871,,,,,-0.119290899,0.005304839,-0.005316794,0.148748387,-16.11208013,1.45475,5.65,4.5945,0.028496375,0.035,0.00021708,434.0025,2.691805007,,,,,0.1495,0.000927241,4.192,0.025999958,40.9975,0.254277973,4257.423,26.40572934,11.41826923,1055.288,6.545191611,33.874,0.210096031,0.4765,0.002955386,13.2295,0.082053063,0.125,0.000775285,3789.7865,23.50531685,,,1749.8295,10.85293244,0.1435,0.000890027,73.7,83.2,0.8955,0.005554142,6.202279957,7.296799949,23.388,0.145058924,4.483,1.8,-49.93693743,151.0698484,95.0,9.0,-117.3477757,37.44570323,-7.303137242,1.201980645,0.176998761,0.016908065,-1.228862361,0.469433871,-0.029992293,0.004435484,,512.0,511.0,-289.8671352,134.4762952,,,64.1600659,62.09072419,0.076860903,0.005091935,35.48387097,17.47915261,-0.15453292,0.031775806,,18.3,18.0,-1.710315581,0.829896774
10,2018-10-26,2019-08-08,1.8,4.483,20,11,3,11,ParW451_0060,-4.545072547,0.157553346,,,1.0,19.17761789,20.31429478,,,,,-0.090913113,0.005147933,0.527929012,0.175143701,-10.73768704,1.538377165,6.528,4.147,0.029820877,,,534.6975,3.844983964,,,,,0.1355,0.000974374,4.61,0.033150288,40.492,0.291176021,4244.7945,30.52411276,11.11111111,1107.1625,7.961552201,32.992,0.237243883,0.269,0.001934366,19.102,0.137361562,0.1485,0.001067856,3960.458,28.47946269,,,1608.034,11.56329503,0.1785,0.001283585,74.4,83.7,0.393,0.002826044,7.190951826,8.459943325,24.7405,0.177907744,4.483,1.8,-33.95850358,161.2687674,95.0,9.0,-20.64086079,42.06345719,-7.248858601,1.25343622,-0.035027327,0.010219882,4.718756349,0.725725591,0.007280392,0.005641831,,506.0,510.0,-11.62320267,150.4662193,,,-25.724667,61.09263031,0.11035095,0.006781594,37.99212598,18.92747942,-0.496827575,0.014930906,,19.4,19.2,1.266245526,0.939944193
